sample,BTG3,CD69,CXCR1,CXCR2,FCGR3A,JUN,STEAP4,groups
8830 EDTA val T24,2.85,1.72,0.810000000000001,1.04,-2.43,-2.98,-0.00999999999999922,0
8831 EDTA val T24,2.50333333333333,0.243333333333332,-0.0966666666666679,0.493333333333332,-2.77666666666667,-2.75666666666667,-0.106666666666668,0
8832 EDTA val T24,2.19,0.789999999999999,0.709999999999999,1.8,-1.55,-3.07,1.37,0
8833 EDTA val T24,2.42333333333333,1.76333333333333,-0.236666666666665,1.03333333333333,-2.43666666666667,-2.96666666666667,0.783333333333335,0
8834 EDTA val T24,2.13,0.840000000000001,0.940000000000001,1.78,-1.92,-3.32,1.16,0
1_EDTA pre T48,2.62333333333333,2.60333333333333,5.65333333333333,6.37333333333333,2.07333333333333,-1.64666666666667,6.73333333333333,0
2_EDTA pre T48,2.93333333333333,3.92333333333333,5.43333333333333,5.81333333333333,3.11333333333333,-0.656666666666668,6.69333333333333,0
3_EDTA pre T48,3.61333333333333,3.36333333333333,3.61333333333333,4.60333333333333,0.843333333333333,-0.416666666666667,5.58333333333333,0
4_EDTA pre T48,2.69666666666667,4.58666666666667,5.44666666666667,5.31666666666667,2.40666666666667,-1.41333333333333,6.32666666666667,0
5_EDTA pre T48,3.52,3.65,2.92,3.31,0.68,0.0600000000000001,3.89,0
6_EDTA pre T48,4.63666666666667,4.54666666666667,2.47666666666667,2.38666666666667,0.156666666666667,0.206666666666667,3.60666666666667,0
7_EDTA pre T48,3.16,3.63,2.57,2.55,0.0699999999999991,-0.160000000000001,3.66,0
1 EDTA val T48,2.30666666666667,2.18666666666667,2.89666666666667,4.29666666666667,0.866666666666666,-3.57333333333333,3.99666666666667,0
2 EDTA val T48,2.18333333333333,3.26333333333333,3.39333333333333,4.75333333333333,2.23333333333333,-1.66666666666667,4.69333333333333,0
3 EDTA val T48,2.18333333333333,2.58333333333333,1.47333333333333,2.72333333333333,-0.0666666666666682,-3.35666666666667,3.23333333333333,0
4 EDTA valT48,0.683333333333334,1.11333333333333,7.19333333333333,2.52333333333333,1.00333333333333,-4.00666666666667,3.10333333333333,0
5 EDTA val T48,2.42,3.02,1.76,3.46,0.7,-1.66,3.52,0
6 EDTA val T48,0.703333333333334,1.05333333333333,6.35333333333333,2.54333333333333,0.393333333333334,-4.55666666666667,2.68333333333333,0
7 EDTA val T48,2.29,2.77,3.48,5.06,1.01,-2.96,4.78,0
8 EDTA val T48,2.19,2.32,3.35,4.34,0.479999999999999,-4.08,4.32,0
9 EDTA val T48,1.3,1.02,4.9,4.68,1.88,-3.86,3.79,0
10 EDTA val T48,1.61,1.19,2.08,3.21,-0.0599999999999987,-3.84,2.88,0
11 EDTA val T48,2.24333333333333,2.30333333333333,2.41333333333333,4.03333333333333,0.873333333333334,-2.56666666666667,4.22333333333333,0
12 EDTA val T48,1.72666666666667,1.72666666666667,2.27666666666667,3.54666666666667,0.416666666666667,-2.93333333333333,3.77666666666667,0
13 EDTA val T48,1.14666666666667,0.996666666666668,3.61666666666667,3.34666666666667,0.546666666666668,-3.50333333333333,2.70666666666667,0
14 EDTA val T48,2.25333333333333,1.65333333333333,1.33333333333333,3.71333333333333,0.753333333333333,-2.47666666666667,2.99333333333333,0
15 EDTA val T48,2.49,2.13,2.65,3.94,0.100000000000001,-3.16,3.28,0
16 EDTA val T48,1.27666666666667,1.23666666666667,1.13666666666667,3.22666666666667,0.0766666666666682,-3.49333333333333,3.74666666666667,0
17 EDTA val T48,1.94333333333333,1.50333333333333,1.21333333333333,3.44333333333333,0.473333333333333,-3.43666666666667,2.87333333333333,0
18 EDTA val T48,1.77666666666667,1.42666666666667,2.38666666666667,4.54666666666667,1.31666666666667,-2.66333333333333,4.60666666666667,0
19 EDTA val T48,2.57,2.32,1.74,3.65,0.440000000000001,-1.98,3.6,0
20 EDTA val T48,1.17333333333333,1.12333333333333,1.49333333333333,2.92333333333333,-0.0266666666666674,-3.78666666666667,3.14333333333333,0
21 EDTA val T48,-0.416666666666665,0.213333333333335,7.63333333333334,2.53333333333334,1.03333333333334,-4.49666666666666,2.82333333333334,0
22 EDTA val T48,0.876666666666668,1.03666666666667,2.79666666666667,3.19666666666667,0.216666666666668,-3.35333333333333,2.57666666666667,0
23 EDTA val T48,1.56,1.9,1.54,3.16,-0.0899999999999992,-3.03,2.78,0
24 EDTA val T48,1.00666666666667,0.776666666666666,2.95666666666667,4.81666666666667,0.656666666666666,-3.38333333333333,3.84666666666667,0
25 EDTA val T48,1.83,2.38,2.1,3.68,0.92,-2.43,4.65,0
26 EDTA val T48,2.01333333333334,1.22333333333334,1.99333333333334,3.65333333333334,-0.846666666666665,-3.24666666666666,2.42333333333334,0
27 EDTA val T48,1.95333333333333,1.21333333333333,2.27333333333333,3.96333333333333,0.683333333333333,-4.04666666666667,4.11333333333333,0
28 EDTA val T48,2.54333333333333,2.62333333333333,1.50333333333333,3.76333333333333,0.373333333333332,-3.45666666666667,3.67333333333333,0
29 EDTA val T48,1.51333333333333,1.37333333333333,1.19333333333333,2.48333333333333,-0.826666666666666,-3.91666666666667,2.10333333333333,0
30 EDTA val T48,1.28333333333333,1.22333333333333,2.46333333333333,4.05333333333333,0.433333333333331,-3.83666666666667,3.99333333333333,0
31 EDTA val T48,1.43,0.670000000000002,3.65,3.91,0.750000000000002,-3.85,3.13,0
32 EDTA val T48,1.46333333333333,1.42333333333333,2.62333333333333,4.21333333333333,0.613333333333333,-3.08666666666667,4.22333333333333,0
